id,CategoryTitle,SubDomain,domainsID
183,BREAD MAKING SUPPLIES,bread-making-supplies,0
184,BREATHALYSER PRODUCTS,breathalyser-products,0
185,BREWERY PRODUCTS & ACCESSORIES,brewery-products-accessories,0
186,BRICK GOODS & SERVICES,brick-goods-services,0
187,BRIDAL,bridal,0
188,BRIEFCASES,briefcases,0
189,BROADCASTING PRODUCTS & EQUIPMENT,broadcasting-products-equipment,0
190,BROCHURES,brochures,0
191,BRONZE PRODUCTS & ACCESSORIES,bronze-products-accessories,0
192,BROOMS,brooms,0
193,BRUSHES,brushes,0
194,BUCKLES,buckles,0
195,BUILDERS GOODS & SERVICES,builders-goods-services,0
196,BULL BAR PRODUCTS,bull-bar-products,0
197,BURGLAR ALARMS,burglar-alarms,0
198,BUSES - BUILDERS & SERVICES,buses-builders-services,0
199,BUSH FOODS,bush-foods,0
200,BUSINESS GOODS & SERVICES,business-goods-services,0
201,BUTTONS,buttons,0
202,CABIN TRUNKS & ACCESSORIES,cabin-trunks-accessories,0
203,CABINETS,cabinets,0
204,CABLING SUPPLIES & PRODUCTS,cabling-supplies-products,0
205,CAFÉ PRODUCTS & SERVICES,cafe-products-services,0
206,CAKE DECORATION,cake-decoration,0
207,CALCULATOR PRODUCTS,calculator-products,0
208,CALIBRATION EQUIPMENT,calibration-equipment,0
209,CALICO PRODUCTS,calico-products,0
210,CALLIGRAPHY SUPPLIES,calligraphy-supplies,0
211,CAMERAS,cameras,0
212,CAMPER TRAILERS & CAMPERVANS,camper-trailers-campervans,0
213,CAMPING EQUIPMENT SUPPLIES,camping-equipment-supplies,0
214,CANDLES,candles,0
215,CANE PRODUCTS,cane-products,0
216,CANNING PRODUCTS,canning-products,0
217,CANOES,canoes,0
218,CANOPIE PRODUCTS,canopie-products,0
219,CANVAS PRODUCTS,canvas-products,0
220,CAPS AND HATS,caps-and-hats,0
221,CAR SUPPLIES & ACCESSORIES,car-supplies-accessories,0
222,CARAVAN SUPPLIES & ACCESSORIES,caravan-supplies-accessories,0
223,CARBON PRODUCTS & SUPPLIES,carbon-products-supplies,0
224,CARBURETTOR - VEHICLE SUPPLIES,carburettor-vehicle-supplies,0
225,CARDBOARD SUPPLIES,cardboard-supplies,0
226,CARDS,cards,0
227,CARGO SUPPLIES,cargo-supplies,0
228,CARPET PRODUCTS & SERVICES,carpet-products-services,0
229,CARPORTS,carports,0
230,CARS NEW & USED FOR SALE,cars-new-used-for-sale,0
231,CARTON PRODUCTS,carton-products,0
232,CARTRIDGES,cartridges,0
233,CASES - PRODUCTS,cases-products,0
234,CASH BAGS & BOX SUPPLIES,cash-bags-box-supplies,0
235,CASH REGISTERS & ACCESSORIES,cash-registers-accessories,0
236,CASINO PRODUCTS,casino-products,0
237,CASKS,casks,0
238,CASSETTES & ACCESSORIES,cassettes-accessories,0
239,CASTORS,castors,0
240,CAT PRODUCTS,cat-products,0
241,CATAMARANS,catamarans,0
242,CATERING EQUIPMENT & SUPPLIES,catering-equipment-supplies,0
243,CATTLE PRODUCTS,cattle-products,0
244,CB RADIO SUPPLIES & SERVICES,cb-radio-supplies-services,0
245,CD - ROM - PRODUCTS & SERVICES,cd-rom-products-services,0
246,CD ROM SUPPLIES,cd-rom-supplies,0
247,CEILING SUPPLIES,ceiling-supplies,0
248,CELLULAR TELEPHONE PRODUCTS,cellular-telephone-products,0
249,CEMENT SUPPLIES & PRODUCTS,cement-supplies-products,0
250,CERAMIC PRODUCTS,ceramic-products,0
251,CHAIN EQUIPMENT,chain-equipment,0
252,CHAINSAWS,chainsaws,0
253,CHAIRS,chairs,0
254,CHALK & CHALKBOARD PRODUCTS,chalk-chalkboard-products,0
255,CHEESE SUPPLIES & PRODUCTS,cheese-supplies-products,0
256,CHEMICALS,chemicals,0
257,CHEMIST SUPPLIES & PRODUCTS,chemist-supplies-products,0
258,CHENILLE,chenille,0
259,CHICKEN & POULTRY SUPPLIES,chicken-poultry-supplies,0
260,CHILDREN'S WEAR & ACCESSORIES,childrens-wear-accessories,0
261,CHIMES,chimes,0
262,CHIMNEY PRODUCTS,chimney-products,0
263,CHINA & GLASSWARE PRODUCTS,china-glassware-products,0
264,CHLORINATORS,chlorinators,0
265,CHOCOLATE SUPPLIES,chocolate-supplies,0
266,CHROME PLATING,chrome-plating,0
267,CHURCH & RELIGIOUS PRODUCTS,church-religious-products,0
268,CIGARETTES & CIGAR PRODUCTS,cigarettes-cigar-products,0
269,CINEMA'S,cinemas,0
270,CLADDING SUPPLIES,cladding-supplies,0
271,CLAY SUPPLIES,clay-supplies,0
272,CLEANING SUPPLIES & PRODUCTS,cleaning-supplies-products,0
273,CLOCK SUPPLIES,clock-supplies,0
274,CLOGS,clogs,0
275,CLOTHES DRYERS & SERVICES,clothes-dryers-services,0
276,CLOTHING - PRODUCTS & SUPPLIES,clothing-products-supplies,0
277,CLUB SUPPLIES,club-supplies,0
278,CLUTCH EQUIPMENT & PRODUCTS,clutch-equipment-products,0
279,COASTERS,coasters,0
280,COAT HANGERS,coat-hangers,0
281,CODING EQUIPMENT & SUPPLIES,coding-equipment-supplies,0
282,COFFEE PRODUCTS,coffee-products,0
283,COFFINS,coffins,0
284,COIN EQUIPMENT & PRODUCTS,coin-equipment-products,0
285,COLLECTABLES,collectables,0
286,COMMLESTONE PAVING PRODUCTS,commlestone-paving-products,0
287,COMMODES - PRODUCTS & SUPPLIES,commodes-products-supplies,0
288,COMPONENTS,components,0
289,COMPOST EQUIPMENT,compost-equipment,0
290,COMPRESSORS,compressors,0
291,COMPUTER EQUIPMENT & SUPPLIES,computer-equipment-supplies,0
292,CONCRETE PRODUCTS,concrete-products,0
293,CONDIMENTS,condiments,0
294,CONDOMS,condoms,0
295,CONFECTIONERY,confectionery,0
296,CONFERENCE EQUIPMENT,conference-equipment,0
297,CONNECTORS,connectors,0
298,CONSERVATORIES,conservatories,0
299,CONTACT LENSE PRODUCTS,contact-lense-products,0
300,CONTAINERS - SHIPPING,containers-shipping,0
301,CONTINENTAL QUILTS,continental-quilts,0
302,CONTRACTOR EQUIPMENT & SERVICES,contractor-equipment-services,0
303,CONTROL EQUIPMENT,control-equipment,0
304,CONVENTION EQUIPMENT & SUPPLIES,convention-equipment-supplies,0
305,CONVERTERS,converters,0
306,COOKERS & COOKING PRODUCTS,cookers-cooking-products,0
307,COPPER PRODUCTS,copper-products,0
308,COPYING PRODUCTS & SUPPLIES,copying-products-supplies,0
309,CORKS & CORK PRODUCTS,corks-cork-products,0
310,CORNICES,cornices,0
311,CORSETS,corsets,0
312,COSMETIC PRODUCTS,cosmetic-products,0
313,COSTUME SUPPLIES,costume-supplies,0
314,COTS,cots,0
315,COTTONG PRODUCTS,cottong-products,0
316,COUPLINGS,couplings,0
317,COURIER PRODUCTS,courier-products,0
318,COVERS - VEHICLE PRODUCTS,covers-vehicle-products,0
319,CRAFT PRODUCTS & SUPPLIES,craft-products-supplies,0
320,CRANES,cranes,0
321,CRATES,crates,0
322,CRAYONS,crayons,0
323,CRICKET GEAR & PRODUCTS,cricket-gear-products,0
324,CROCKERY,crockery,0
325,CRUTCHES - SUPPLIES,crutches-supplies,0
326,CRYSTAL SUPPLIES & PRODUCTS,crystal-supplies-products,0
327,CUPBOARDS - PRODUCTS & SUPPLIES,cupboards-products-supplies,0
328,CURTAIN SUPPLIES & PRODUCTS,curtain-supplies-products,0
329,CUSHION SUPPLIES & PRODUCTS,cushion-supplies-products,0
330,CUTLERY,cutlery,0
331,CV JOINT PRODUCTS - MOTOR VEHICLE,cv-joint-products-motor-vehicle,0
332,DANCING - COSTUMES & SUPPLIES,dancing-costumes-supplies,0
333,DART & DART BOARDS SUPPLIES,dart-dart-boards-supplies,0
334,DECAL PRODUCTS,decal-products,0
335,DECORATION PRODUCTS,decoration-products,0
336,DEGREASER PRODUCTS,degreaser-products,0
337,DEMOLITION EQUIPMENT,demolition-equipment,0
338,DENTAL SUPPLIES,dental-supplies,0
339,DEODORANTS,deodorants,0
340,DESIGNING PRODUCTS,designing-products,0
341,DESKS & DESK ACCESSORIES,desks-desk-accessories,0
342,DETERGENT SUPPLIES,detergent-supplies,0
343,DIARY SUPPLIES,diary-supplies,0
344,DICTATING MACHINE SUPPLIES,dictating-machine-supplies,0
345,DIDGERIDOOS,didgeridoos,0
346,DIESEL PRODUCTS,diesel-products,0
347,DIFFERENTIAL PRODUCTS,differential-products,0
348,DIGITAL CAMERAS & PRODUCTS,digital-cameras-products,0
349,DINNERWARE,dinnerware,0
350,DISC JOCKEYS' SUPPLIES & EQUIPMENT,disc-jockeys-supplies-equipment,0
351,DISHAWASHING MACHINES & PARTS,dishawashing-machines-parts,0
352,DISKETTES,diskettes,0
353,DISPLAY EQUIPMENT & SUPPLIES,display-equipment-supplies,0
354,DISTILLED WATER,distilled-water,0
355,DIVING - PRODUCTS & EQUIPMENT,diving-products-equipment,0
356,DOGS - PRODUCTS & SUPPLIES,dogs-products-supplies,0
357,DOLLS - SUPPLIES & ACCESSORIES,dolls-supplies-accessories,0
358,DOORS,doors,0
359,DRAFTING SUPPLIES & SERVICES,drafting-supplies-services,0
360,DRAINAGE EQUIPMENT & SERVICES,drainage-equipment-services,0
361,DRAWING EQUIPMENT,drawing-equipment,0
362,DRESSES,dresses,0
363,DRIED FLOWER PRODUCTS,dried-flower-products,0
364,DRILLING PRODUCTS & EQUIPMENT,drilling-products-equipment,0
365,DUST CONTROL EQUIPMENT,dust-control-equipment,0
366,DUSTERS & DUST MAT PRODUCTS,dusters-dust-mat-products,0
367,DVD PRODUCTS & ACCESSORIES,dvd-products-accessories,0
368,DYE & DYE PRODUCTS,dye-dye-products,0
369,DYNAMITE,dynamite,0
370,E.F.T.P.O.S. EQUIPMENT,eftpos-equipment,0
371,EAR PLUGS,ear-plugs,0
372,EARTH MOVING EQUIPMENT & SUPPLIES,earth-moving-equipment-supplies,0
373,ELASTIC PRODUCTS,elastic-products,0
374,ELECTRIC PRODUCTS,electric-products,0
375,ELECTRIC TOOLS & EQUIPMENT,electric-tools-equipment,0
376,ELECTRICAL APPLIANCE PARTS & PRODUCTS,electrical-appliance-parts-products,0
377,ELECTRONIC EQUIPMENT,electronic-equipment,0
378,ELECTROPLATING PRODUCTS,electroplating-products,0
379,ELEMENTS,elements,0
380,ELEVATORS & EQUIPMENT,elevators-equipment,0
381,EMBROIDERY,embroidery,0
382,ENAMEL,enamel,0
383,ENCYCLOPAEDIAS,encyclopaedias,0
384,ENGINES,engines,0
385,ENGRAVING PRODUCTS,engraving-products,0
386,ENTERTAINING EQUIPMENT & SUPPLIES,entertaining-equipment-supplies,0
387,ENVELOPES,envelopes,0
388,ENVIROMENTAL EQUIPMENT,enviromental-equipment,0
389,EPOXU,epoxu,0
390,EXCAVATING,excavating,0
391,EXERCISE EQUIPMENT & SUPPLIES,exercise-equipment-supplies,0
392,EXHAUST FANS,exhaust-fans,0
393,EXPLOSIVES,explosives,0
394,EYE PRODUCTS & ACCESSORIES,eye-products-accessories,0
395,EYELETS,eyelets,0
396,FABRIC,fabric,0
397,FACSIMILES,facsimiles,0
398,FANCY DRESS COSTUMES,fancy-dress-costumes,0
399,FANS,fans,0
400,FARM EQUIPMENT & PRODUCTS,farm-equipment-products,0
401,FASHION,fashion,0
402,FASTENERS,fasteners,0
403,FEATHERS PRODUCTS,feathers-products,0
404,FENCING,fencing,0
405,FETE SUPPLIES,fete-supplies,0
406,FIBREGLASS PRODUCTS,fibreglass-products,0
407,FILING CABINETS,filing-cabinets,0
408,FILTERS,filters,0
409,FIRE ALARMS & EQUIPMENT,fire-alarms-equipment,0
410,FIREARMS,firearms,0
411,FIREPLACES,fireplaces,0
412,FIREWOOD,firewood,0
413,FIREWORKS,fireworks,0
414,FIRST AID PRODUCTS,first-aid-products,0
415,FISH PONDS & TANKS,fish-ponds-tanks,0
416,FISHING EQUIPMENT & PRODUCTS,fishing-equipment-products,0
417,FITNESS & HEALTH EQUIPMENT,fitness-health-equipment,0
418,FLAGPOLES,flagpoles,0
419,FLOOR COVERING PRODUCTS,floor-covering-products,0
420,FLOOR PRODUCTS,floor-products,0
421,FLORAL ART & FLORIST PRODUCTS,floral-art-florist-products,0
422,FLOWERS,flowers,0
423,FLY WIRE,fly-wire,0
424,FOAM PRODUCTS,foam-products,0
425,FOIL PRODUCTS,foil-products,0
426,FOOD PRODUCTS,food-products,0
427,FOOTWEAR,footwear,0
428,FOUNDRY SUPPLIES,foundry-supplies,0
429,FOUNTAINS,fountains,0
430,FOUR WHEEL DRIVES,four-wheel-drives,0
431,FRAMES,frames,0
432,FREEZER PRODUCTS & PARTS,freezer-products-parts,0
433,FRETWORK,fretwork,0
434,FRIDGE PRODUCTS,fridge-products,0
435,FUEL,fuel,0
436,FURNACE PRODUCTS,furnace-products,0
437,FURNITURE,furniture,0
438,FUSES,fuses,0
439,FUTON PRODUCTS,futon-products,0
440,GAMBLING EQUIPMENT,gambling-equipment,0
441,GAMES,games,0
442,GARAGE EQUIPMENT & SUPPLIES,garage-equipment-supplies,0
443,GARBAGE PRODUCTS,garbage-products,0
444,GARDEN PRODUCTS & SUPPLIES,garden-products-supplies,0
445,GARMENT PRODUCTS,garment-products,0
446,GAS APPLIANCES,gas-appliances,0
447,GASKETS,gaskets,0
448,GATES,gates,0
449,GAUGES,gauges,0
450,GEARBOXES,gearboxes,0
451,GEM PRODUCTS,gem-products,0
452,GIFT ACCESSORIES,gift-accessories,0
453,GIRDLES,girdles,0
454,GLASS PRODUCTS & SERVICES,glass-products-services,0
455,GLOBES,globes,0
456,GLOVES,gloves,0
457,GLUE PRODUCTS,glue-products,0
458,GO-KART PRODUCTS & SUPPLIES,gokart-products-supplies,0
459,GOLD,gold,0
460,GOLDING PRODUCTS & SUPPLIES,golding-products-supplies,0
461,GRADING EQUIPMENT,grading-equipment,0
462,GRAIN EQUIPMENT & SUPPLIES,grain-equipment-supplies,0
463,GRANITE,granite,0
464,GRAVEL,gravel,0
465,GREASE EQUIPMENT & SUPPLIES,grease-equipment-supplies,0
466,GRILLES - EQUIPMENT & SUPPLIES,grilles-equipment-supplies,0
467,GROUTING PRODUCTS,grouting-products,0
468,GUILLOTINES,guillotines,0
469,GUNS,guns,0
470,HAIR CARE SERVICES & ACCESSORIES,hair-care-services-accessories,0
471,HALAL PRODUCTS,halal-products,0
472,HAMMOCKS - PRODUCTS & ACCESSORIES,hammocks-products-accessories,0
473,HAMPERS,hampers,0
474,HANDBAGS,handbags,0
475,HANDICAPPED PRODUCTS,handicapped-products,0
476,HANDYMAN EQUIPMENT,handyman-equipment,0
477,HARDWARE,hardware,0
478,HATS,hats,0
479,HEADSETS - PRODUCTS & SUPPLIES,headsets-products-supplies,0
480,HEADSTONES,headstones,0
481,HEALTH FOOD,health-food,0
482,HEARING AIDS - PRODUCTS & SUPPLIES,hearing-aids-products-supplies,0
483,HEATING,heating,0
484,HEMP,hemp,0
485,HERBAL PRODUCTS,herbal-products,0
486,HESSIAN PRODUCTS,hessian-products,0
487,HI-FI PRODUCTS & EQUIPMENT,hifi-products-equipment,0
488,HINGES - PRODUCTS,hinges-products,0
489,HOBBY SUPPLIES,hobby-supplies,0
490,HOISTS,hoists,0
491,HOLOGRAPHICS,holographics,0
492,HONING,honing,0
493,HORSE PRODUCTS,horse-products,0
494,HOSES,hoses,0
495,HOSIERY,hosiery,0
496,HOSPITAL EQUIPMENT,hospital-equipment,0
497,HOT TUBS - PRODUCTS & SUPPLIES,hot-tubs-products-supplies,0
498,HOT WATER SYSTEMS,hot-water-systems,0
499,HOTEL EQUIPMENT,hotel-equipment,0
500,HYDRAULICS,hydraulics,0
501,ICE,ice,0
502,ICE CREAM PRODUCTS,ice-cream-products,0
503,ILLUMINATED PRODUCTS & SIGNS,illuminated-products-signs,0
504,INCENSE SUPPLIES,incense-supplies,0
505,INCUBATOR PRODUCTS,incubator-products,0
506,INDICATOR LIGHTS & SUPPLIES,indicator-lights-supplies,0
507,INDUSTRIAL SUPPLIES & PRODUCTS,industrial-supplies-products,0
508,INFLATABLE PRODUCTS,inflatable-products,0
509,INFRA-RED PRODUCTS,infrared-products,0
510,INJECTORS,injectors,0
511,INKS,inks,0
512,INSECT & INSECTICIDE PRODUCTS,insect-insecticide-products,0
513,INSTRUMENTS,instruments,0
514,INSULATION PRODUCT,insulation-product,0
515,INTERCOMS,intercoms,0
516,INVALID EQUIPMENT,invalid-equipment,0
517,IRON,iron,0
518,IRONING PRODUCTS,ironing-products,0
519,IRRIGATION,irrigation,0
520,JACKS,jacks,0
521,JAMS,jams,0
522,JARS,jars,0
523,JEANS,jeans,0
524,JEWELLERY,jewellery,0
525,JUICING PRODUCTS,juicing-products,0
526,JUKEBOXES,jukeboxes,0
527,KAYAK PRODUCTS,kayak-products,0
528,KEGS,kegs,0
529,KENNELS,kennels,0
530,KEROSENE PRODUCTS,kerosene-products,0
531,KEYS - PRODUCTS & SUPPLIES,keys-products-supplies,0
532,KILNS - PRODUCTS & SUPPLIES,kilns-products-supplies,0
533,KINDERGARTEN EQUIPMENT,kindergarten-equipment,0
534,KITCHEN APPLIANCES & SUPPLIES,kitchen-appliances-supplies,0
535,KITES,kites,0
536,KNITTING PRODUCTS,knitting-products,0
537,KNIVES,knives,0
538,LABELLING EQUIPMENT & SERVICES,labelling-equipment-services,0
539,LABORATORY EQUIPMENT,laboratory-equipment,0
540,LACES,laces,0
